nodeId,stationName,lineName,travelMinutes,lng,lat
513,대청,서울3호선,27.233333,127.07965438746068,37.49351094157151
880,선정릉,서울9호선급행,27.233333,127.0440542026834,37.51050736146603
502,압구정,서울3호선,27.266667,127.02849480804664,37.52683240163011
514,일원,서울3호선,27.35,127.08425610480239,37.483892375613635
516,가락시장,서울3호선,27.35,127.11769949685181,37.49224072819765
768,선정릉,서울9호선,27.516667,127.04413239250458,37.510338197449975
697,청담,서울7호선,27.583333,127.05357716068204,37.519428891240395
808,도곡,분당선,27.733333,127.05528972002826,37.49126963926923
764,고속터미널,서울9호선,27.766667,127.00404071210666,37.505933374304796
788,기흥,분당선,27.8,127.11596117176872,37.27548895165585
32,신둔도예촌,경강선,28,127.40524573211431,37.315605515371374
725,장지,서울8호선,28.333333,127.12621866852548,37.47858602461259
735,남위례,서울8호선,28.5,127.13969234334893,37.46249121266242
449,종합운동장,서울2호선,28.7,127.0738741898419,37.51114024667451
691,내방,서울7호선,28.75,126.99366333702754,37.48767847349902
517,경찰병원,서울3호선,28.85,127.12438262870327,37.49583762756161
807,구룡,분당선,29.066667,127.05959630216212,37.48702793012337
809,한티,분당선,29.233333,127.05289869433383,37.496292233946704
763,신반포,서울9호선,29.416667,126.99611730898998,37.50349234382109
769,삼성중앙,서울9호선,29.583333,127.05332657895441,37.51303446510631
877,동작,서울9호선급행,29.716667,126.97859082781919,37.502936332057935
501,옥수,서울3호선,29.766667,127.01734970783959,37.541646501646156
723,산성,서울8호선,29.833333,127.1499895659972,37.45687166092399
726,문정,서울8호선,29.833333,127.12239054688452,37.485999588505464
805,대모산입구,분당선,29.85,127.07272520536556,37.49139885544521
881,봉은사,서울9호선급행,30.1,127.0601734237017,37.514427257649025
787,상갈,분당선,30.133333,127.1087702594018,37.26180717695745
441,사당,서울2호선,30.2,126.98145992891385,37.47655688046076
518,오금,서울3호선,30.35,127.12842533949964,37.50230020627933
698,뚝섬유원지,서울7호선,30.583333,127.06669338787944,37.53153233958963
450,잠실새내,서울2호선,30.7,127.08578361601805,37.51162337532623
806,개포동,분당선,30.9,127.06603356695186,37.48909188383677
690,이수,서울7호선,30.916667,126.98159125571313,37.48525347981365
810,선릉,분당선,31.033333,127.04887341969834,37.50484218769327
762,구반포,서울9호선,31.15,126.98746198997472,37.50147537502471
500,금호,서울3호선,31.266667,127.01581679193747,37.54824925934082
727,가락시장,서울8호선,31.333333,127.11815833405205,37.49313536324696
770,봉은사,서울9호선,31.4,127.06022236028825,37.5142512509896
812,강남구청,분당선,32.083333,127.04141846607048,37.516818175071926
699,건대입구,서울7호선,32.416667,127.07104527435243,37.540787120208606
882,종합운동장,서울9호선급행,32.633333,127.07610376624258,37.51175432363645
451,잠실,서울2호선,32.7,127.10041380810402,37.5133366015627
689,남성,서울7호선,32.75,126.97063352333238,37.48486445621787
499,약수,서울3호선,32.766667,127.01098427642751,37.55439350786292
811,선정릉,분당선,33.033333,127.043735554321,37.5106387912849
728,송파,서울8호선,33.166667,127.11245977050264,37.499453281817736
440,낙성대,서울2호선,33.2,126.9633714730419,37.477128579538125
761,동작,서울9호선,33.266667,126.97846610287309,37.50278592651394
166,기흥,용인경전철,33.3,127.11753466306267,37.275446605331936
786,청명,분당선,33.466667,127.0789575841608,37.25947839664072
771,종합운동장,서울9호선,33.666667,127.07598223383413,37.51160225275392
33,이천,경강선,34,127.44219049160138,37.264282030974286
876,노량진,서울9호선급행,34.133333,126.94090950679447,37.51374810573692
498,동대입구,서울3호선,34.266667,127.00581884359067,37.55909036634736
700,어린이대공원,서울7호선,34.416667,127.07460765080978,37.54797651986144
452,잠실나루,서울2호선,34.7,127.10378518773567,37.52071866422928
542,사당,서울4호선,34.7,126.98165285774415,37.47668573822636
729,석촌,서울8호선,34.833333,127.1072024211311,37.505234569854736
622,오금,서울5호선,34.85,127.12789900357716,37.502175504672856
167,강남대,용인경전철,35.033333,127.12604715514982,37.27014813638295
813,압구정로데오,분당선,35.083333,127.04055846245011,37.52734337097982
439,서울대입구,서울2호선,35.2,126.9527461218336,37.48126938801276
785,영통,분당선,35.3,127.07127163637459,37.251448264152614
688,숭실대입구,서울7호선,35.75,126.95386677948132,37.496018811223465
760,흑석,서울9호선,35.8,126.96348987575094,37.5091650981065
543,이수,서울4호선,36.25,126.98218414692923,37.4866819129001
701,군자,서울7호선,36.25,127.07940313207344,37.557012386873
497,충무로,서울3호선,36.266667,126.9941079964346,37.56139947047944
772,삼전,서울9호선,36.533333,127.08708656620719,37.504639986996615
544,동작,서울4호선,36.55,126.98029388425194,37.50313526273477
621,방이,서울5호선,36.683333,127.12602968587761,37.50863811844353
623,개롱,서울5호선,36.683333,127.13507764191463,37.49793804469948
438,봉천,서울2호선,36.7,126.94183169338719,37.482419659917305
168,지석,용인경전철,36.783333,127.13663911569527,37.269748151901375
883,석촌,서울9호선급행,36.8,127.10677442004423,37.50520387554385
814,서울숲,분당선,36.916667,127.04468169688805,37.54360242963025
730,잠실,서울8호선,37.166667,127.10320255466382,37.514227802371266
453,강변,서울2호선,37.2,127.0947560262475,37.5352127586193
541,남태령,서울4호선,37.2,126.98907757220772,37.46430177367908
875,여의도,서울9호선급행,37.383333,126.92455402440211,37.52158959075807
687,상도,서울7호선,37.416667,126.94787542522896,37.50291164320335
455,건대입구,서울2호선,37.583333,127.06916133687463,37.54039736656281
496,을지로3가,서울3호선,37.766667,126.99259461491604,37.56662272166245
759,노들,서울9호선,37.8,126.9531088296662,37.512698660837316
784,망포,분당선,37.8,127.0573640058352,37.245814814998205
34,부발,경강선,38,127.49035843730856,37.26030423134139
702,중곡,서울7호선,38.25,127.08437025699817,37.56605296105017
649,약수,서울6호선,38.266667,127.01019294689584,37.554013760965795
169,어정,용인경전철,38.3,127.1437690636977,37.27496736479221
347,노량진,서울1호선,38.466667,126.94212727274434,37.51403929133789
620,올림픽공원,서울5호선,38.516667,127.13097639480684,37.51635736455057
624,거여,서울5호선,38.516667,127.14376760607396,37.49333293435531
773,석촌고분,서울9호선,38.633333,127.09697063884457,37.50248404349023
437,신림,서울2호선,38.7,126.9296473680417,37.48426475767833
454,구의,서울2호선,38.7,127.0862247417597,37.53715481665681
758,노량진,서울9호선,38.8,126.94093021413612,37.51356859610538
731,몽촌토성,서울8호선,39,127.11286618903804,37.51782512393169
456,성수,서울2호선,39.083333,127.05638072816848,37.54448421832996
99,옥수,경의중앙선,39.266667,127.0185867229776,37.5403743443041
495,종로3가,서울3호선,39.266667,126.99182698976216,37.5716687202438
686,장승배기,서울7호선,39.416667,126.93935718612674,37.505069033513884
648,버티고개,서울6호선,39.766667,127.00691104815432,37.54790967736629
545,이촌,서울4호선,40.05,126.97437769380483,37.52241216709484
703,용마산,서울7호선,40.083333,127.08684287860366,37.573766288916445
650,청구,서울6호선,40.1,127.01384244854054,37.56041608611719
