siteId,siteName,pnu,jibun,parcelAreaSqm,buildingCount,grossFloorAreaSqm,floorAreaForFarSqm,parcelFarPercent,built
okjeong,양주 옥정 자족용지,4163011400110250001,1025-1대,4535.558,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110250002,1025-2잡,997.973,1,319.68,285.71,28.629,1
okjeong,양주 옥정 자족용지,4163011500105920001,592-1대,18260.42,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105920002,592-2도,0.968,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105920004,592-4 도,114.559,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105920005,592-5 도,106.802,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105920006,592-6 도,3.668,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105930001,593-1 창,53330.568,3,173993.87,104799.62,196.509,1
okjeong,양주 옥정 자족용지,4163011500105930003,593-3도,0.656,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105930005,593-5 도,384.31,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011500105930006,593-6 도,148.288,0,0,0,0,0
